Drugs,Genes,Pathways
['NaN'],EIF4E2,"['HIF-1 signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'Insulin signaling pathway']"
['NaN'],EIF4EBP1,"['ErbB signaling pathway', 'HIF-1 signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway']"
['NaN'],ELAVL1,['AMPK signaling pathway']
['NaN'],ELK4,['MAPK signaling pathway']
['NaN'],ELOB,['HIF-1 signaling pathway']
['NaN'],ELOC,['HIF-1 signaling pathway']
['NaN'],ENO1,['HIF-1 signaling pathway']
['NaN'],ENO2,['HIF-1 signaling pathway']
['NaN'],ENO3,['HIF-1 signaling pathway']
['NaN'],EP300,"['cAMP signaling pathway', 'HIF-1 signaling pathway', 'Wnt signaling pathway', 'Notch signaling pathway', 'TGF-beta signaling pathway', 'JAK-STAT signaling pathway', 'Thyroid hormone signaling pathway', 'Glucagon signaling pathway', 'Cell cycle']"
['Dasatinib'],EPHA2,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],EPOR,"['PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway']"
"['Afatinib', 'Lapatinib']",ERBB2,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Calcium signaling pathway', 'HIF-1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],ERBIN,['NOD-like receptor signaling pathway']
['NaN'],ESPL1,['Cell cycle']
['NaN'],ETS1,['Ras signaling pathway']
['NaN'],ETS2,['Ras signaling pathway']
['NaN'],EVC,['Hedgehog signaling pathway']
['NaN'],EXOC2,['Ras signaling pathway']
['NaN'],EXOC7,['Insulin signaling pathway']
['NaN'],F2R,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'Phospholipase D signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],F3,['AGE-RAGE signaling pathway in diabetic complications']
['NaN'],FADD,"['Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],FARP2,['Rap1 signaling pathway']
['NaN'],FAS,"['MAPK signaling pathway', 'p53 signaling pathway']"
['NaN'],FASN,"['AMPK signaling pathway', 'Insulin signaling pathway']"
['NaN'],FBXO25,['FoxO signaling pathway']
['NaN'],FBXW11,"['Wnt signaling pathway', 'Hedgehog signaling pathway', 'Hippo signaling pathway']"
['Sorafenib'],FGFR1,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],FLCN,['mTOR signaling pathway']
['NaN'],FLNB,['MAPK signaling pathway']
['NaN'],FLOT1,['Insulin signaling pathway']
['NaN'],FLOT2,['Insulin signaling pathway']
['NaN'],FN1,['PI3K-Akt signaling pathway']
['NaN'],FNIP1,['mTOR signaling pathway']
['NaN'],FNIP2,['mTOR signaling pathway']
['NaN'],FOS,"['MAPK signaling pathway', 'cAMP signaling pathway', 'Toll-like receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],FOSL1,"['Wnt signaling pathway', 'IL-17 signaling pathway']"
['NaN'],FOXO1,"['FoxO signaling pathway', 'Insulin signaling pathway', 'Thyroid hormone signaling pathway', 'Glucagon signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],FOXO3,"['Chemokine signaling pathway', 'FoxO signaling pathway', 'PI3K-Akt signaling pathway', 'Neurotrophin signaling pathway', 'Prolactin signaling pathway']"
['NaN'],FRAT2,['Wnt signaling pathway']
['NaN'],FRMD6,['Hippo signaling pathway']
['NaN'],FRS2,['Neurotrophin signaling pathway']
['Dasatinib'],FYN,"['Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway']"
['NaN'],FZD1,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],FZD2,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],FZD5,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],FZD6,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],FZD7,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],FZR1,['Cell cycle']
['NaN'],G6PC3,"['FoxO signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway']"
['NaN'],GAB1,"['ErbB signaling pathway', 'Ras signaling pathway', 'Phospholipase D signaling pathway', 'Neurotrophin signaling pathway']"
['NaN'],GAB2,"['Ras signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'Fc epsilon RI signaling pathway']"
['NaN'],GABARAP,"['FoxO signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],GABARAPL1,"['FoxO signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],GABARAPL2,"['FoxO signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],GABBR1,"['cAMP signaling pathway', 'Estrogen signaling pathway']"
['NaN'],GADD45A,"['MAPK signaling pathway', 'FoxO signaling pathway', 'p53 signaling pathway', 'Cell cycle']"
['NaN'],GADD45B,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'FoxO signaling pathway', 'p53 signaling pathway', 'Cell cycle']"
['NaN'],GALT,['Prolactin signaling pathway']
['NaN'],GAPDH,['HIF-1 signaling pathway']
['NaN'],GNA11,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'GnRH signaling pathway']"
['NaN'],GNA12,"['MAPK signaling pathway', 'cGMP-PKG signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway']"
['NaN'],GNA13,"['cGMP-PKG signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'Apelin signaling pathway']"
['NaN'],GNAI1,"['Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Sphingolipid signaling pathway', 'Apelin signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNAI2,"['Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Sphingolipid signaling pathway', 'Apelin signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNAI3,"['Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Sphingolipid signaling pathway', 'Apelin signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNAQ,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Sphingolipid signaling pathway', 'Apelin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],GNAS,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'Phospholipase D signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNB1,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNB2,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNB4,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNB5,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNG10,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNG12,"['MAPK signaling pathway', 'Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GNG5,"['Ras signaling pathway', 'Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'Apelin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GRB10,['mTOR signaling pathway']
['NaN'],GRB2,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Chemokine signaling pathway', 'FoxO signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],GRK2,"['Chemokine signaling pathway', 'Hedgehog signaling pathway']"
['NaN'],GRK3,"['Chemokine signaling pathway', 'Hedgehog signaling pathway']"
['NaN'],GRK6,['Chemokine signaling pathway']
['NaN'],GSDMD,['NOD-like receptor signaling pathway']
['NaN'],GSK3A,['Chemokine signaling pathway']
['Staurosporine'],GSK3B,"['ErbB signaling pathway', 'Chemokine signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'Wnt signaling pathway', 'Hedgehog signaling pathway', 'Hippo signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Cell cycle']"
['NaN'],GTF2I,['cGMP-PKG signaling pathway']
['NaN'],GTF2IRD1,['cGMP-PKG signaling pathway']
['NaN'],GTSE1,['p53 signaling pathway']
['NaN'],GYS1,"['PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],HBEGF,"['ErbB signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway']"
['Vorinostat'],HDAC1,"['Notch signaling pathway', 'Thyroid hormone signaling pathway', 'Cell cycle']"
['Vorinostat'],HDAC2,"['Notch signaling pathway', 'Thyroid hormone signaling pathway', 'Cell cycle']"
['Vorinostat'],HDAC3,['Thyroid hormone signaling pathway']
['NaN'],HDAC4,['Apelin signaling pathway']
['NaN'],HDAC5,['Apelin signaling pathway']
['NaN'],HES1,['Notch signaling pathway']
['NaN'],HIF1A,"['HIF-1 signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],HK1,"['HIF-1 signaling pathway', 'Insulin signaling pathway']"
['NaN'],HK2,"['HIF-1 signaling pathway', 'Insulin signaling pathway']"
['NaN'],HMGCR,['AMPK signaling pathway']
['NaN'],HMOX1,['HIF-1 signaling pathway']
['NaN'],HOMER1,['FoxO signaling pathway']
['NaN'],HOMER3,['FoxO signaling pathway']
['NaN'],HRAS,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],HSP90AA1,"['PI3K-Akt signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],HSP90AB1,"['PI3K-Akt signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],HSP90B1,['PI3K-Akt signaling pathway']
['NaN'],HSPA1A,['MAPK signaling pathway']
['NaN'],HSPA1B,['MAPK signaling pathway']
['Dasatinib'],HSPA8,['MAPK signaling pathway']
['NaN'],HSPB1,"['MAPK signaling pathway', 'VEGF signaling pathway']"
['NaN'],ICAM1,"['NF-kappa B signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],ID1,"['Rap1 signaling pathway', 'Hippo signaling pathway']"
['NaN'],ID2,['Hippo signaling pathway']
['NaN'],IFI16,['NOD-like receptor signaling pathway']
['NaN'],IFIH1,['RIG-I-like receptor signaling pathway']
['NaN'],IFNAR1,"['PI3K-Akt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],IFNAR2,"['PI3K-Akt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],IFNGR1,"['HIF-1 signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],IFNGR2,"['HIF-1 signaling pathway', 'JAK-STAT signaling pathway']"
['Linsitinib'],IGF1R,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway']"
['NaN'],IKBKB,"['MAPK signaling pathway', 'Ras signaling pathway', 'Chemokine signaling pathway', 'NF-kappa B signaling pathway', 'FoxO signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],IKBKE,"['Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway']"
['NaN'],IL10RB,['JAK-STAT signaling pathway']
['NaN'],IL11RA,['JAK-STAT signaling pathway']
['NaN'],IL27RA,['JAK-STAT signaling pathway']
['NaN'],IL4R,"['PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],IL6ST,['JAK-STAT signaling pathway']
['NaN'],INPP5K,['Insulin signaling pathway']
['NaN'],INPPL1,"['B cell receptor signaling pathway', 'Insulin signaling pathway']"
['NaN'],INSR,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway']"
['NaN'],INVS,['Wnt signaling pathway']
['NaN'],IRAK4,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'Neurotrophin signaling pathway']"
['NaN'],IRF1,"['C-type lectin receptor signaling pathway', 'TNF signaling pathway', 'Prolactin signaling pathway']"
['NaN'],IRF3,"['Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],IRF7,"['Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],IRS1,"['cGMP-PKG signaling pathway', 'FoxO signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],IRS2,"['cGMP-PKG signaling pathway', 'FoxO signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],ISG15,['RIG-I-like receptor signaling pathway']
['NaN'],ITCH,['TNF signaling pathway']
['NaN'],ITGA2,['PI3K-Akt signaling pathway']
['NaN'],ITGA3,['PI3K-Akt signaling pathway']
['NaN'],ITGA5,['PI3K-Akt signaling pathway']
['NaN'],ITGA6,['PI3K-Akt signaling pathway']
['NaN'],ITGAV,"['PI3K-Akt signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],ITGB1,"['Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],ITGB5,['PI3K-Akt signaling pathway']
['NaN'],ITPKB,['Calcium signaling pathway']
['NaN'],ITPKC,['Calcium signaling pathway']
['NaN'],ITPR2,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],ITPR3,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],JAG1,"['Notch signaling pathway', 'Apelin signaling pathway']"
['NaN'],JAG2,['Notch signaling pathway']
['Ruxolitinib'],JAK1,"['PI3K-Akt signaling pathway', 'NOD-like receptor signaling pathway', 'JAK-STAT signaling pathway']"
['Ruxolitinib'],JAK2,"['Chemokine signaling pathway', 'PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway', 'Prolactin signaling pathway', 'Adipocytokine signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['Vinblastine'],JUN,"['MAPK signaling pathway', 'ErbB signaling pathway', 'cAMP signaling pathway', 'Wnt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],JUND,"['MAPK signaling pathway', 'IL-17 signaling pathway']"
['NaN'],KAT2A,"['Notch signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],KAT2B,"['Notch signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],KIDINS220,['Neurotrophin signaling pathway']
['NaN'],KIF3A,['Hedgehog signaling pathway']
['NaN'],KIF7,['Hedgehog signaling pathway']
['NaN'],KITLG,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Phospholipase D signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],KRAS,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],KRIT1,['Rap1 signaling pathway']
['NaN'],KRT10,['Estrogen signaling pathway']
['NaN'],KRT18,['Estrogen signaling pathway']
['NaN'],LAMA5,['PI3K-Akt signaling pathway']
['NaN'],LAMB1,['PI3K-Akt signaling pathway']
['NaN'],LAMB2,['PI3K-Akt signaling pathway']
['NaN'],LAMB3,['PI3K-Akt signaling pathway']
['NaN'],LAMC1,['PI3K-Akt signaling pathway']
['NaN'],LAMTOR1,['mTOR signaling pathway']
['NaN'],LAMTOR2,['mTOR signaling pathway']
['NaN'],LAMTOR3,"['MAPK signaling pathway', 'mTOR signaling pathway']"
['NaN'],LAMTOR4,['mTOR signaling pathway']
['NaN'],LAMTOR5,['mTOR signaling pathway']
['NaN'],LATS1,['Hippo signaling pathway']
['NaN'],LATS2,['Hippo signaling pathway']
['NaN'],LDHA,['HIF-1 signaling pathway']
['NaN'],LFNG,['Notch signaling pathway']
['NaN'],LIF,['JAK-STAT signaling pathway']
['NaN'],LIMD1,['Hippo signaling pathway']
['NaN'],LLGL1,['Hippo signaling pathway']
['NaN'],LLGL2,['Hippo signaling pathway']
['NaN'],LPAR2,"['Rap1 signaling pathway', 'Phospholipase D signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],LRP5,"['mTOR signaling pathway', 'Wnt signaling pathway']"
['NaN'],LRP6,"['mTOR signaling pathway', 'Wnt signaling pathway']"
['NaN'],LTB4R2,['Calcium signaling pathway']
['NaN'],LTBP1,['TGF-beta signaling pathway']
['NaN'],LTBR,"['NF-kappa B signaling pathway', 'HIF-1 signaling pathway']"
['Dasatinib'],LYN,"['Chemokine signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway']"
['NaN'],MAD1L1,['Cell cycle']
['NaN'],MAD2L1,['Cell cycle']
['NaN'],MAD2L2,['Cell cycle']
['NaN'],MAGI1,"['Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],MAGI3,['Rap1 signaling pathway']
['NaN'],MALT1,"['C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway']"
['NaN'],MAML1,['Notch signaling pathway']
['NaN'],MAML2,['Notch signaling pathway']
['Trametinib'],MAP2K1,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['Trametinib'],MAP2K2,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],MAP2K3,"['MAPK signaling pathway', 'Rap1 signaling pathway', 'Toll-like receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'GnRH signaling pathway']"
['NaN'],MAP2K4,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Toll-like receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'GnRH signaling pathway', 'Relaxin signaling pathway']"
['NaN'],MAP2K5,"['MAPK signaling pathway', 'Neurotrophin signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],MAP2K7,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Toll-like receptor signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Relaxin signaling pathway']"
['NaN'],MAP3K1,"['MAPK signaling pathway', 'RIG-I-like receptor signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway']"
['NaN'],MAP3K11,['MAPK signaling pathway']
['NaN'],MAP3K12,['MAPK signaling pathway']
['NaN'],MAP3K13,['MAPK signaling pathway']
['NaN'],MAP3K14,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],MAP3K2,"['MAPK signaling pathway', 'GnRH signaling pathway']"
['Dasatinib'],MAP3K20,['MAPK signaling pathway']
['NaN'],MAP3K3,"['MAPK signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway']"
['NaN'],MAP3K4,"['MAPK signaling pathway', 'GnRH signaling pathway']"
['NaN'],MAP3K5,"['MAPK signaling pathway', 'Sphingolipid signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway']"
['NaN'],MAP3K6,['MAPK signaling pathway']
['NaN'],MAP3K7,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'AMPK signaling pathway', 'Wnt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],MAP4K2,['MAPK signaling pathway']
['NaN'],MAP4K3,['MAPK signaling pathway']
['NaN'],MAP4K4,['MAPK signaling pathway']
['Ulixertinib'],MAPK1,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
